DATES,Enjin Coin,Maker,Solana,Cardano,Monero,Litecoin,Dogecoin,Chainlink,Bitcoin,XRP,Bitcoin Cash,Polygon,Ethereum,Uniswap,VeChain,Curve DAO Token,Avalanche,Algorand,Stellar,IOTA,Cronos,Fantom,Flow,Tezos,Ethereum Classic,Dash,Internet Computer,Elrond,Polkadot,Binance Coin,Terra Classic,Stacks,Wrapped Bitcoin,Axie Infinity,TRON,Zcash,EOS,Hedera Hashgraph,Sand,Filecoin,Tether,Dai,USD Coin,Basic Attention Token,Cosmos,Cosmos.1,TerraUSD,Decentraland,Shiba Inu,Aave
2018-03-11,,,,,,189.485,,,9613.95,0.82,1121.84,,723.955,,,,,,0.3432,,,,,,21.47,543.734,,,,,,,,,0.0386,,,,,,0.9998,,,,,,,,,
2018-03-12,,,,,,178.825,,,9017.65,0.7819,1037.72,,691.693,,,,,,0.3432,,,,,,20.189,490.218,,,,,,,,,0.0355,,,,,,0.9989,,,,,,,,,
2018-03-13,,,,,,174.265,,,9062.92,0.7697,1050.7,,680.353,,,,,,0.3432,,,,,,19.641,481.683,,,,,,,,,0.0355,,,,,,1.0016,,,,,,,,,
2018-03-14,,,,,,162.745,,,8304.32,0.6988,960.42,,614.965,,,,,,0.2488,,,,,,17.113,430.639,,,,,,,,,0.0315,,,,,,0.9983,,,,,,,,,
2018-03-15,,,,,,163.143,,,8251.71,0.68,935.03,,604.575,,,,,,0.2488,,,,,,18.487,417.047,,,,,,,,,0.0301,,,,,,0.9982,,,,,,,,,
2018-03-16,,,,,,169.448,,,8524.17,0.6922,1019.41,,613.788,,,,,,0.2488,,,,,,18.194,431.6,,,,,,,,,0.0307,,,,,,0.9999,,,,,,,,,
2018-03-17,,,,,,495.336,,,,,,,,,,,,,0.2488,,,,,,,,,,,,,,,,0.0282,,,,,,1.0004,,,,,,,,,
2018-03-18,,,,,,146.365,,,7655.03,0.5877,875.05,,506.32,,,,,,0.189,,,,,,15.805,353.794,,,,,,,,,0.0263,,,,,,0.9924,,,,,,,,,
2018-03-19,,,,,,156.738,,,8427.2,0.669,964.91,,541.355,,,,,,0.189,,,,,,18.299,390.996,,,,,,,,,0.0315,,,,,,1.0,,,,,,,,,
2018-03-20,,,,,,169.65,,,8920.33,0.7065,1047.63,,558.723,,,,,,0.189,,,,,,20.411,436.023,,,,,,,,,0.0376,,,,,,1.0007,,,,,,,,,
2018-03-21,,,,,,168.868,,,8895.59,0.6777,1020.5,,559.755,,,,,,0.189,,,,,,19.701,426.26,,,,,,,,,0.0373,,,,,,0.9999,,,,,,,,,
2018-03-22,,,,,,161.34,,,8598.85,0.6424,999.91,,527.775,,,,,,0.189,,,,,,18.98,402.74,,,,,,,,,0.0357,,,,,,1.0,,,,,,,,,
2018-03-23,,,,,,163.1,,,8616.25,0.6257,1003.22,,524.353,,,,,,0.189,,,,,,18.509,417.151,,,,,,,,,0.0396,,,,,,0.9996,,,,,,,,,
2018-03-24,,,,,,,,,,,,,,,,,,,0.189,,,,,,,,,,,,,,,,0.0514,,,,,,1.0007,,,,,,,,,
2018-03-25,,,,,,161.318,,,8605.14,0.643,979.21,,526.525,,,,,,0.189,,,,,,18.15,416.876,,,,,,,,,0.0461,,,,,,1.0003,,,,,,,,,
2018-03-26,,,,,,143.175,,,7888.84,0.5797,884.95,,474.265,,,,,,0.189,,,,,,15.597,373.895,,,,,,,,,0.0403,,,,,,1.0007,,,,,,,,,
2018-03-27,,,,,,139.233,,,7990.87,0.5844,891.61,,458.812,,,,,,0.189,,,,,,16.492,364.07,,,,,,,,,0.0449,,,,,,1.0005,,,,,,,,,
2018-03-28,,,,,,131.945,,,7906.96,0.5719,853.42,,446.268,,,,,,0.189,,,,,,16.033,349.245,,,,,,,,,0.0453,,,,,,0.9993,,,,,,,,,
2018-03-29,,,,,,113.63,,,7098.14,0.5101,709.16,,385.78,,,,,,0.1861,,,,,,14.856,320.296,,,,,,,,,0.0439,,,,,,0.9992,,,,,,,,,
2018-03-30,,,,,,117.115,,,6852.51,0.4939,694.13,,385.035,,,,,,0.1861,,,,,,14.258,310.895,,,,,,,,,0.0421,,,,,,0.9999,,,,,,,,,
2018-03-31,,,,,,,,,,,,,,,,,,,0.1861,,,,,,,,,,,,,,,,0.0338,,,,,,0.9999,,,,,,,,,
2018-04-01,,,,,,114.893,,,6890.64,0.4888,650.8,,381.625,,,,,,0.1861,,,,,,13.82,306.778,,,,,,,,,0.0325,,,,,,1.0,,,,,,,,,
2018-04-02,,,,,,117.308,,,6937.38,0.4831,661.22,,377.895,,,,,,0.1861,,,,,,13.81,303.204,,,,,,,,,0.0341,,,,,,0.9998,,,,,,,,,
